OBJECTID,Date,SurveyType,SpeciesName,Stage,Activity,AirTempF,Number of Individuals,SiteSubClass,Alive_Dead,Lon,Lat
2591,10/12/15,Active,Bullfrog,Adult,Hopping,54,,Golf Course,Aiive,-75.1499,44.588
2592,10/13/15,Active,Northern Leopard Frog,Adult,Basking,55,,Kip Track,Aiive,-75.1553,44.5837
2593,10/13/15,Active,Green Frog,Adult,Basking,55,,Kip Track,Aiive,-75.1664,44.5832
2594,10/13/15,Active,Green Frog,Adult,Basking,55,0,Kip Track,Aiive,-75.1654,44.5824
2595,10/13/15,Road,UNK,UNK,UNK,53,,Road,Aiive,-75.1654,44.5908
2596,10/14/15,Active,Green Frog,Adult,hopping,52,,XC Trail,Aiive,-75.1657,44.5816
2597,10/14/15,Road,UNK,UNK,dead,51,,Road,Dead,-75.1583,44.5846
2598,10/14/15,Road,UNK,UNK,dead,52,,Road,Dead,-75.1588,44.5849
2599,10/14/15,Road,UNK,UNK,dead,52,,Road,Dead,-75.1596,44.5856
2600,10/14/15,Active,Bullfrog,Adult,Sitting/Leaping,57,0,ESL wetland,Aiive,-75.1359,44.5935
2601,10/14/15,Road,UNK,UNK,UNK,52,,Miner Street (b/w athletics and XC trail),Aiive,-75.1662,44.5853
2602,10/14/15,Active,Bullfrog,Adult,Leaping,nr,,ESL wetland,Aiive,-75.1359,44.5935
2603,10/14/15,Active,Bullfrog,Adult,Leaping,nr,,ESL wetland,Aiive,-75.1359,44.5935
2604,10/14/15,Active,Bullfrog,Adult,Leaping,nr,,ESL wetland,Aiive,-75.1359,44.5935
2605,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
2606,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
2607,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
2608,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
2609,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
2610,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
2611,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1581,44.5829
2612,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
2613,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
2614,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
2615,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
2616,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
2617,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
2618,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
2619,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
2620,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
2621,9/8/15,Active,American Toad,Adult,Hopping,81,,XC Trail,Aiive,-75.1612,44.5813
2622,9/8/15,Active,American Toad,Adult,Hopping,81,0,XC Trail,Aiive,-75.1612,44.5813
2623,9/8/15,Auditory,UNK,UNK,UNK,81,,XC Trail ,UNK,-75.1607,44.5813
2624,9/11/15,Incidental,Northern Leopard Frog,UNK,Jumping,76,0,Kip Track,Aiive,-75.1655,44.5823
2625,9/12/15,Auditory,UNK,UNK,UNK,61,,ESL,UNK,-75.1391,44.5894
2626,9/12/15,Active,UNK,UNK,Jumping,61,,ESL,Aiive,-75.1409,44.5919
2627,9/14/15,Active,UNK ,UNK,Dead,72,,Kip Track,Dead,-75.1658,44.5835
2628,9/14/15,Active,Green Frog,UNK,Alive,72,,Kip Track,Aiive,-75.1658,44.5835
2629,9/16/15,Auditory,UNK,UNK,Calling,82,,Saddlemire Trail,Aiive,-75.1401,44.5906
2630,9/16/15,Active,Northern Leopard Frog,UNK,Alive,82,,XC Trail,Aiive,-75.16,44.58
2631,9/18/15,Active,Green Frog,Adult,Sitting in water,81,,Kip Track,Aiive,-75.1599,44.5818
2632,9/18/15,Active,Northern Leopard Frog,Adult,Jumping,81,,Kip Track,Aiive,-75.1602,44.5815
2633,9/18/15,Active,Green Frog,Adult,Basking,82,,Kip Track,Aiive,-75.1612,44.5812
2634,9/18/15,Active,Northern Leopard Frog,Adult,Basking,85,,Kip Track,Aiive,-75.1615,44.581
2635,9/18/15,Active,Green Frog,Adult,Basking,82,,Kip Track,Aiive,-75.1616,44.581
2636,9/18/15,Active,UNK,UNK,Sitting in water,81,,Kip Track,Aiive,-75.1617,44.5808
2637,9/18/15,Active,Green Frog,Adult,Basking,82,,Kip Track,Aiive,-75.1618,44.5808
2638,9/21/15,Incidental,UNK,UNK,Hopping,74,,Kip Track,Aiive,-75.1587,44.584
2639,9/21/15,Incidental,UNK,UNK,Hopping,74,,Kip Track,Aiive,-75.1587,44.584
2640,9/21/15,Incidental,UNK,UNK,Hopping,74,3,Kip Track,Aiive,-75.1587,44.584
2641,9/21/15,Active,Green Frog,Adult,Basking,74,,riverbank,Aiive,-75.1613,44.5813
2642,9/21/15,Active,Bullfrog,Adult,Basking,70,,riverbank,Aiive,-75.1616,44.5811
2643,9/21/15,Active,Bullfrog,Adult,Basking,70,,riverbank,Aiive,-75.1616,44.5811
2644,9/21/15,Active,Mink Frog,Adult,Basking,70,,riverbank,Aiive,-75.1618,44.5811
2645,9/22/15,Active,UNK,Adult,Jumping,68,,Kip Tract,Aiive,-75.1527,44.5826
2646,9/22/15,Active,Northern Leopard Frog,Adult,Basking,68,3,Kip Tract,Aiive,-75.1517,44.5832
2647,9/22/15,Active,Bullfrog,Adult,Sitting in water,68,,Kip Tract,Aiive,-75.1517,44.5832
